id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,242.0,MILIMETER,2015
2,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,316.0,MILIMETER,2015
3,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,360.0,MILIMETER,2015
4,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,137.0,MILIMETER,2015
5,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,118.0,MILIMETER,2015
6,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,126.0,MILIMETER,2015
7,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,30.0,MILIMETER,2015
8,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,121.0,MILIMETER,2015
9,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,98.0,MILIMETER,2015
10,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,217.0,MILIMETER,2015
11,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,681.0,MILIMETER,2015
12,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,349.0,MILIMETER,2015
13,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,242.0,MILIMETER,2015
14,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,316.0,MILIMETER,2015
15,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,384.0,MILIMETER,2015
16,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,232.0,MILIMETER,2015
17,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,153.0,MILIMETER,2015
18,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,77.0,MILIMETER,2015
19,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,16.0,MILIMETER,2015
20,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,0.0,MILIMETER,2015
21,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,34.0,MILIMETER,2015
22,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,39.0,MILIMETER,2015
23,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,577.0,MILIMETER,2015
